emitter_serial,scenario_id,emitter_lat,emitter_lon
1,scenario_1,45.2380852,-67.4186152
2,scenario_2,40.6782,-73.9442
3,scenario_3,41.8780993,-87.6298017
4,scenario_4,28.5355,77.391
5,scenario_5,18.5204,73.8567
6,scenario_6,17.3866974,78.4836182
7,scenario_7,22.5726,88.3639
8,scenario_8,25.3176,82.9739
9,scenario_9,28.6139,77.209
10,scenario_10,41.751235,122.6346931
11,scenario_11,11.664038,79.9889558
12,scenario_12,34.0522,-118.2437
13,scenario_13,29.2750883,75.693897
14,scenario_14,29.2637319,75.7183124
